reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,replyContent,appVersion,date,avod_end
251f408a-6062-4d2e-84f7-7254256a9161,하누,첨엔 광고만보면 볼수있었는데 지금은 가입해야해서 볼만한게 없고 미션을께야지 볼수있어서 힘들어요.. 근데 제가보고십은애니를 볼수있어서 좋은점도있는데 몇게정도는 무료로 볼수있게해주세요!,3,0,3.68.0,,3.68.0,2025-07-26 16:58:49,after
596eb8c1-174d-4e66-b082-5bef248a24b3,ᄋᄋᄋᄋ,호들요 꼭보셈,5,0,3.68.0,,3.68.0,2025-07-26 14:07:07,after
03479d2b-cc58-47ea-9a53-1f9885745e16,신소연,애니 몇몇개 못봄. 깔지 마셈 차라리 티빙을 사라,1,0,,,,2025-07-26 13:39:05,after
37157115-a128-4a92-8adf-b796345c4742,김종분,평생쓸듯 ㄹㅇ루,5,0,3.68.0,,3.68.0,2025-07-26 13:03:15,after
e4b5c33d-04d1-4f26-b634-f591c9922b9f,정원도,소녀종말여해 추가해줘여ㅕㅕ,5,0,3.68.0,,3.68.0,2025-07-26 07:46:54,after
4851c5ee-2fd7-49d5-9149-37da2b237f92,EDMUND JEON,너무 잘 보고있고 화질이 좋다 하지만 다른 앱 보다 터치 기능이 없는데 아쉽고 없는 애니들도 많아서 아쉽다 ㅎㅎ,4,0,3.68.0,,3.68.0,2025-07-26 02:48:29,after
04030f66-ec92-4672-91e3-cda4eb03e9a0,정재호,양이 많아 좋음,5,0,3.68.0,,3.68.0,2025-07-25 21:21:07,after
c3ae6f7a-2dee-4001-941b-680571c95405,리오,멤버십을 구매안한 사람은 보지말라는겁니까? 굉장히 짜증나나네요,1,0,3.68.0,,3.68.0,2025-07-25 15:45:41,after
14098b3a-55a0-4204-a831-30ea63cbcc51,김재영,"PIP 모드 전환 시 화면이 검게 변하거나, 전체 화면으로 전환 시 멈춤 현상이 발생하고 있습니다.",4,0,3.68.0,"안녕하세요, 라프텔 고객센터입니다. 말씀해주신 현상은 내부 테스트에서는 동일하게 재현되지 않아, 번거로우시겠지만 앱을 삭제 후 최신 버전으로 다시 설치해 주시길 부탁드립니다. 이후에도 그런데도 이슈가 계속된다면, 기기 모델명과 OS 버전 정보와 함께 문제 상황을 고객센터로 자세히 알려 주시기 바랍니다. ▶︎ https://help.laftel.net/hc/ko/requests/new",3.68.0,2025-07-24 16:41:13,after
11bb122c-4e4d-4c3e-b204-92286bc32222,YT아야,향기로운 꽃은 늠름하게 핀다 만들어 주세요 무료로 볼수이게 해주세요 ㅠㅠ 인기가 많아요,5,0,3.68.0,"안녕하세요, 라프텔 고객센터입니다. 보고 싶은 작품을 추천해 주셔서 감사합니다. 현재 해당 작품의 서비스는 어렵지만, 더 다양한 애니메이션을 확보하여 고객님께 만족을 드릴 수 있도록 최선을 다하겠습니다. 아울러, 보고 싶은 작품을 제안해 주시면, 소중한 의견으로 받아들여 세심히 검토하겠습니다. ▶︎ 라프텔에 보고 싶은 작품 제안하기: https://laftel.net/form/request/new-item",3.68.0,2025-07-24 14:07:08,after
9e078908-5465-45fd-bcbf-3daaf494ef16,김최,굿,5,0,3.67.0,"안녕하세요, 라프텔 고객센터입니다. 고객님께서 만족하셨다니 저희도 기쁘고 보람을 느낍니다. 앞으로도 더 나은 서비스를 제공하기 위해 최선을 다하겠습니다. 감사합니다!",3.67.0,2025-07-24 11:15:54,after
